Time,Ecg1
19:36:20.424,-304.0
19:36:20.464,-132.0
19:36:20.504,34.0
19:36:20.544,116.0
19:36:20.584,62.0
19:36:20.624,-43.0
19:36:20.664,-36.0
19:36:20.704,-185.0
19:36:20.744,-311.0
19:36:20.784,1742.0
19:36:20.824,1419.0
19:36:20.864,424.0
19:36:20.904,-9.0
19:36:20.944,-12.0
19:36:20.984,189.0
19:36:21.024,216.0
19:36:21.064,148.0
19:36:21.104,123.0
19:36:21.144,202.0
19:36:21.184,323.0
19:36:21.224,414.0
19:36:21.264,435.0
19:36:21.304,309.0
19:36:21.344,148.0
19:36:21.384,66.0
19:36:21.424,134.0
19:36:21.464,324.0
19:36:21.504,151.0
19:36:21.544,76.0
19:36:21.584,350.0
19:36:21.624,1145.0
19:36:21.664,601.0
19:36:21.704,199.0
19:36:21.744,120.0
19:36:21.784,255.0
19:36:21.824,295.0
19:36:21.864,137.0
19:36:21.904,54.0
19:36:21.944,89.0
19:36:21.984,63.0
19:36:22.024,91.0
19:36:22.064,85.0
19:36:22.104,-27.0
19:36:22.144,-75.0
19:36:22.184,-62.0
19:36:22.224,-19.0
19:36:22.264,132.0
19:36:22.304,-11.0
19:36:22.344,-144.0
19:36:22.384,-292.0
19:36:22.424,768.0
19:36:22.464,244.0
19:36:22.504,-85.0
19:36:22.544,-143.0
19:36:22.584,99.0
19:36:22.624,261.0
19:36:22.664,90.0
19:36:22.704,-213.0
19:36:22.744,-396.0
19:36:22.784,-467.0
19:36:22.824,-368.0
19:36:22.864,-264.0
19:36:22.904,-219.0
19:36:22.944,-614.0
19:36:22.984,-783.0
19:36:23.024,-715.0
19:36:23.064,-732.0
19:36:23.104,-913.0
19:36:23.144,-860.0
19:36:23.184,-642.0
19:36:23.224,682.0
19:36:23.264,414.0
19:36:23.304,358.0
19:36:27.725,485.0
19:36:27.765,841.0
19:36:27.805,682.0
19:36:27.845,511.0
19:36:27.885,419.0
19:36:27.925,458.0
19:36:27.965,504.0
19:36:28.005,693.0
19:36:28.045,797.0
19:36:28.085,496.0
19:36:28.125,459.0
19:36:28.165,265.0
19:36:28.205,246.0
19:36:28.245,-126.0
19:36:28.285,-416.0
19:36:28.325,15.0
19:36:28.365,375.0
19:36:28.405,-206.0
19:36:28.445,-495.0
19:36:28.485,-507.0
19:36:28.525,-323.0
19:36:28.565,-288.0
19:36:28.605,-568.0
19:36:28.645,-731.0
19:36:28.685,-797.0
19:36:28.725,-706.0
19:36:28.765,-583.0
19:36:28.805,-466.0
19:36:28.845,-440.0
19:36:28.885,-425.0
19:36:28.925,-343.0
19:36:28.965,-212.0
19:36:29.005,-86.0
19:36:29.045,-167.0
19:36:29.085,-372.0
19:36:29.125,2945.0
19:36:29.165,1481.0
19:36:29.205,276.0
19:36:29.245,-247.0
19:36:29.285,-228.0
19:36:29.325,34.0
19:36:29.365,73.0
19:36:29.405,-77.0
19:36:29.445,-92.0
19:36:29.485,-10.0
19:36:29.525,33.0
19:36:29.565,88.0
19:36:29.605,130.0
19:36:29.645,113.0
19:36:29.685,9.0
19:36:29.725,-71.0
19:36:29.765,-164.0
19:36:29.805,-127.0
19:36:29.845,61.0
19:36:29.885,-130.0
19:36:29.925,-210.0
19:36:29.965,-143.0
19:36:30.005,661.0
19:36:30.045,149.0
19:36:30.085,-137.0
19:36:30.125,-137.0
19:36:30.165,70.0
19:36:30.205,209.0
19:36:30.245,-71.0
19:36:30.285,-324.0
19:36:30.325,-418.0
19:36:30.365,-393.0
19:36:30.405,-332.0
19:36:30.445,-311.0
19:36:30.485,-334.0
19:36:30.525,-363.0
19:36:30.565,-334.0
19:36:30.605,-396.0
19:36:30.645,-390.0
19:36:30.685,-411.0
19:36:30.725,-277.0
19:36:30.765,-401.0
19:36:30.805,-490.0
19:36:30.845,2199.0
19:36:30.885,1286.0
19:36:30.925,137.0
19:36:30.965,-375.0
19:36:31.005,-468.0
19:36:31.045,-318.0
19:36:31.085,-343.0
19:36:31.125,-550.0
19:36:31.165,-729.0
19:36:31.205,-783.0
19:36:31.245,-750.0
19:36:31.285,-688.0
19:36:31.325,-608.0
19:36:31.365,-576.0
19:36:31.405,-581.0
19:36:31.445,-548.0
19:36:31.485,-531.0
19:36:31.525,-493.0
19:36:31.565,-449.0
19:36:31.605,-292.0
19:36:31.645,-259.0
19:36:31.685,-302.0
19:36:32.666,-713.0
19:36:32.706,60.0
19:36:32.746,-26.0
19:36:32.786,-2.0
19:36:32.826,212.0
19:36:32.866,500.0
19:36:32.906,498.0
19:36:32.946,272.0
19:36:32.986,92.0
19:36:33.026,31.0
19:36:33.066,44.0
19:36:33.106,59.0
19:36:33.146,126.0
19:36:33.186,147.0
19:36:33.226,125.0
19:36:33.266,71.0
19:36:33.306,12.0
19:36:33.346,-20.0
19:36:33.386,4.0
19:36:33.426,-39.0
19:36:33.466,-138.0
19:36:33.506,-621.0
19:36:33.546,1723.0
19:36:33.586,1028.0
19:36:33.626,251.0
19:36:33.666,-50.0
19:36:33.706,29.0
19:36:33.746,183.0
19:36:33.786,95.0
19:36:33.826,-85.0
19:36:33.866,-202.0
